daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Chu Dực,"Âu Dương Chấn Hoa, Mã Á Thư, ",Phim Hành động,2012,trappde,bộ bộ sát cơ,Phim Hồng Kong,Phim Hành động
Kathryn Bigelow,"Chris Pratt, Jessica Chastain, Joel Edgerton, ",Phim Hành động,2012,zero dark thirty,truy lùng khủng bố,Phim Mỹ,Phim Chiến Tranh
D.J. Caruso,"Alex Pettyfer, Callan McAuliffe, Dianna Agron, Teresa Palmer, Timothy Olyphant, ",Phim Hành động,2011,i am number four,tôi là số 4,Phim Mỹ,Phim Hành động
Felix Chong,"Cổ Thiên Lạc, Diệp Tuyền, Ngô Ngạn Tổ, ",Phim Hành động,2011,overheard 2,thiết thính phong vân 2,Phim Hồng Kong,Phim Hành động
Matthew Vaughn,Đang cập nhật,Phim Hành động,2011,x-men first class,dị nhân 5 thế hệ đầu tiên,Phim Mỹ,Phim Hành động
Dư Minh Sinh,"Nhan đan thần, Tào tuấn, Thư Sướng, Tiêu Ân Tuấn, ",Phim Hành động,2009,lotus lantern prequel,bảo liên đăng tiền truyện,Phim Đài Loan,Phim Hành động
Jonathan Sobol,"Jay Baruchel, Katheryn Winnick, Kurt Russell, ",Phim Hành động,2013,the art of the steal,nghệ thuật đạo chích,Phim Mỹ,Phim Hành động
Paul Greengrass,"Barkhad Abdi, Barkhad Abdirahman, Tom Hanks, ",Phim Hành động,2013,captain phillips,thuyền trưởng phillips,Phim Mỹ,Phim Hành động
Nick Lyon,"Danny Trejo, Jonathan Banks, Torsten Voges, ",Phim Hành động,2014,bullet,viên đạn lửa,Phim Mỹ,Phim Hành động
Louis Leterrier,"Alessandro Gassman, Amber Valletta, Jason Statham, ",Phim Hành động,2005,the transporter 2,người vận chuyển 2,Phim Mỹ,Phim Hành động
Diệp Vĩnh Kiện,"Lưong Tiểu Long, Ngô Kiến Hào, Phàn Thiếu Hoàng, ",Phim Hành động,2013,kungfu fighter,kungfu vô địch,Phim Hồng Kong,Phim Hành động
Louis Leterrier,"Jason Statham, Matt schulze, ",Phim Hành động,2002,the transporter,người vận chuyển,Phim Mỹ,Phim Hành động
Hyeong Joon Kim,"Hee soon Park, Sang wook Joo, Si hyeon Park, ",Phim Hành động,2012,the scent,mùi hương,Phim Hàn Quốc,Phim Hành động
Simon West,"Ben Foster, Donald Sutherland, Jason Statham, ",Phim Hành động,2011,the mechanic,sát thủ hoàn hảo,Phim Mỹ,Phim Hành động
Pyo Min Soo,"Jang Hyuk, Lee Bum Soo, Lee Da Hae, ",Phim Hành động,2013,iris 2,mật danh iris 2,Phim Hàn Quốc,Phim Hành động
Ralph Fiennes,"Brian Cox, Gerard Butler, Ralph Fiennes, ",Phim Hành động,2011,coriolanus,chiến binh coriolanus,Phim Mỹ,Phim Hành động
Jim Taihuttu,"Chemseddine Amar, Slimane Dazi, Steef Cuijpers, ",Phim Hành động,2013,wolf,tay đấm quyền anh,Phim Mỹ,Phim Hành động
Neill Blomkamp,"David james, Jason cope, Sharlto Copley, ",Phim Hành động,2009,district 9,khu vực 9,Phim Mỹ,Phim Hành động
Sang il Lee,"David Webb Peoples, Sang il Lee, ",Phim Hành động,2014,unforgiven,khổng thể tha thứ,"
								",Phim Hành động
Chu Dực,"Âu Dương Chấn Hoa, Chân Tích, Mã Á Thư, Mã Nhã, Phàn Thiếu Hoà, Phương Tử Ca, Tăng Lê, ",Phim Hành động,2013,trappde,ranh giới hiểm nguy,Phim Hồng Kong,Phim Hành động
Phillip Noyes,"Angelina Jolie, Chiwetel Ejiofor, Liev Schreiber, ",Phim Hành động,2010,salt,đặc vụ salt,Phim Mỹ,Phim Hành động
Olivier Megaton,"Jason Statham, Natalya rudakova, Robert knepper, ",Phim Hành động,2008,the transporter 3,người vận chuyển 3,Phim Mỹ,Phim Hành động
Park Joon Hwa,"Lee Soo Kyung, Shim Hyung Tak, Yoon Doo Joon, Yoon So Hee, ",Phim Hành động,2013,let's eat,thực thần,Phim Hàn Quốc,Phim Hành động
Chris Brinker,"Amy Smart, Neal McDonough, Willem Dafoe, ",Phim Hành động,2014,bad country,vùng đất xấu xa,Phim Mỹ,Phim Hành động
Daniel Stamm,"Mark Webber, Pruitt Taylor Vince, Ron Perlman, ",Phim Hành động,2014,13 sins,13 trò chơi tử thần,Phim Mỹ,Phim Hành động
Eugenio Mira,"Elijah Wood, John Cusack, Kerry Bishé, ",Phim Hành động,2013,grand piano,buổi hòa nhạc kinh hoàng,Phim Mỹ,Phim Hành động
Sohail Khan,"Salman Khan, Sunil Shetty, Tabu, ",Phim Hành động,2014,jai ho,bảo vệ công lý,Phim Ấn Độ,Phim Hành động
David Gould,"David Allen, Gabriel Abreu, Gino Acevedo, ",Phim Hành động,2014,the cure,phương thuốc,Phim Mỹ,Phim Hành động
Rob Cohen,"Asia argento, Marton csokas, Samuel L. Jackson, Vin Diesel, ",Phim Hành động,2002,xxx,siêu điệp viên xxx,Phim Mỹ,Phim Hành động
John Hyams,"Cung Le, Jean-Claude Van Damme, peter weller, ",Phim Hành động,2012,dragon eyes,mắt rồng,Phim Mỹ,Phim Hành động
Kim Jung Gyu,"Im Soo Hyang, Jin Se Yeon, Kim Hyun Joong, ",Phim Hành động,2014,inspiring generation,anh hùng thời loạn,Phim Hàn Quốc,Phim Hành động
