daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Billy Chan,"Đông Phong, Pauline Wong, Siu-hou Chin, ",Phim Hài,1986,mr vampire 2,thiên sứ bắt ma 2,Phim Hồng Kong,Phim Cổ Trang
Ricky Lau,"Lâm Chánh Anh, Ngọ Mã, Nguyên Bưu, ",Phim Hài,1987,mr vampire 3,thiên sứ bắt ma 3,Phim Hồng Kong,Phim Cổ Trang
Jingle Ma,"Lương Triều Vỹ, Nhậm Hiền Tề, Thư Kỳ, ",Phim Hài,2005,seoul raiders,đột kích seoul,Phim Trung Quốc,Phim Hài
Francis Veber,"Francis Huster, Jacques Villeret, Thierry Lhermitte, ",Phim Hài,1998,the dinner game,bữa tối lắm trò,Phim Mỹ,Phim Hài
Ricky Lau,"Ngọ Mã, Tiền Gia Lạc, ",Phim Hài,1988,mr vampire saga,thiên sứ bắt ma 4,Phim Hồng Kong,Phim Cổ Trang
Andre Ovredal,"Knut Nærum, Otto Jespersen, Robert Stoltenberg, ",Phim Hài,2010,trollhunter,săn quái vật,Phim Mỹ,Phim Hài
Rob Meltzer,"Adam Brody, Jean-Claude Van Damme, Rob Huebel, ",Phim Hài,2013,welcome to the jungle,thử thách sống còn,Phim Mỹ,Phim Hài
Phil Lord,"Channing Tatum, Ice Cube, Jonah Hill, ",Phim Hài,2012,21 jump street,cớm học đường,Phim Mỹ,Phim Hài
John Schultz,"Jonathan Lipnicki, Morris Chestnut, Shad Moss, ",Phim Hài,2002,like mike,giống như mike,Phim Mỹ,Phim Hài
Glenn Ficarra,"Margot Robbie, Rodrigo Santoro, Will Smith, ",Phim Hài,2015,focus,không dính bẫy,Phim Mỹ,Phim Hài
Bobby Farrelly,"Anthony Anderson, Jim Carrey, Renée Zellweger, ",Phim Hài,2000,me myself and irene,tôi nó và nàng,Phim Mỹ,Phim Hài
Brad BirdJan Pinkava,"Brad Garrett, Lou Romano, Patton Oswalt, ",Phim Hài,2007,ratatouille,chú chuột đầu bếp,Phim Mỹ,Phim Hài
